Self-contained mixed benchmark wrappers generated by generate_selfcontained_mixed_wrappers.m
Variables follow the fixed cyclic pattern C,K,D,C,D,K,...
Heterogeneity strategies apply ONLY to continuous variables.

baseline_1/ackley_k108_k34_k21_10D.m    (p=1, n=10, strategy=baseline, kappa=1)
spatial_thermal_9e4/meyer_roth_k114_3D.m    (p=31, n=3, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/meyer_roth_k114_3D.m    (p=31, n=3, strategy=halton_oscillatory, kappa=1000000)
baseline_1/miele_cantrell_k63_4D.m    (p=32, n=4, strategy=baseline, kappa=1)
moderate_1e4/miele_cantrell_k63_4D.m    (p=32, n=4, strategy=moderate, kappa=10000)
progressive_1e6/miele_cantrell_k63_4D.m    (p=32, n=4, strategy=progressive, kappa=1000000)
extreme_1e8/miele_cantrell_k63_4D.m    (p=32, n=4, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/miele_cantrell_k63_4D.m    (p=32, n=4, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/miele_cantrell_k63_4D.m    (p=32, n=4, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/miele_cantrell_k63_4D.m    (p=32, n=4, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/miele_cantrell_k63_4D.m    (p=32, n=4, strategy=halton_oscillatory, kappa=1000000)
baseline_1/multi_gaussian_k110_2D.m    (p=33, n=2, strategy=baseline, kappa=1)
moderate_1e4/multi_gaussian_k110_2D.m    (p=33, n=2, strategy=moderate, kappa=10000)
progressive_1e6/multi_gaussian_k110_2D.m    (p=33, n=2, strategy=progressive, kappa=1000000)
extreme_1e8/multi_gaussian_k110_2D.m    (p=33, n=2, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/multi_gaussian_k110_2D.m    (p=33, n=2, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/multi_gaussian_k110_2D.m    (p=33, n=2, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/multi_gaussian_k110_2D.m    (p=33, n=2, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/multi_gaussian_k110_2D.m    (p=33, n=2, strategy=halton_oscillatory, kappa=1000000)
baseline_1/neumaier2_k76_4D.m    (p=34, n=4, strategy=baseline, kappa=1)
moderate_1e4/neumaier2_k76_4D.m    (p=34, n=4, strategy=moderate, kappa=10000)
progressive_1e6/neumaier2_k76_4D.m    (p=34, n=4, strategy=progressive, kappa=1000000)
extreme_1e8/neumaier2_k76_4D.m    (p=34, n=4, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/neumaier2_k76_4D.m    (p=34, n=4, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/neumaier2_k76_4D.m    (p=34, n=4, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/neumaier2_k76_4D.m    (p=34, n=4, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/neumaier2_k76_4D.m    (p=34, n=4, strategy=halton_oscillatory, kappa=1000000)
baseline_1/neumaier3_k67_k48_k30_10D.m    (p=35, n=10, strategy=baseline, kappa=1)
moderate_1e4/neumaier3_k67_k48_k30_10D.m    (p=35, n=10, strategy=moderate, kappa=10000)
progressive_1e6/neumaier3_k67_k48_k30_10D.m    (p=35, n=10, strategy=progressive, kappa=1000000)
extreme_1e8/neumaier3_k67_k48_k30_10D.m    (p=35, n=10, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/neumaier3_k67_k48_k30_10D.m    (p=35, n=10, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/neumaier3_k67_k48_k30_10D.m    (p=35, n=10, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/neumaier3_k67_k48_k30_10D.m    (p=35, n=10, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/neumaier3_k67_k48_k30_10D.m    (p=35, n=10, strategy=halton_oscillatory, kappa=1000000)
baseline_1/paviani_k120_k108_k56_10D.m    (p=36, n=10, strategy=baseline, kappa=1)
moderate_1e4/paviani_k120_k108_k56_10D.m    (p=36, n=10, strategy=moderate, kappa=10000)
progressive_1e6/paviani_k120_k108_k56_10D.m    (p=36, n=10, strategy=progressive, kappa=1000000)
extreme_1e8/paviani_k120_k108_k56_10D.m    (p=36, n=10, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/paviani_k120_k108_k56_10D.m    (p=36, n=10, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/paviani_k120_k108_k56_10D.m    (p=36, n=10, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/paviani_k120_k108_k56_10D.m    (p=36, n=10, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/paviani_k120_k108_k56_10D.m    (p=36, n=10, strategy=halton_oscillatory, kappa=1000000)
baseline_1/periodic_k117_2D.m    (p=37, n=2, strategy=baseline, kappa=1)
moderate_1e4/periodic_k117_2D.m    (p=37, n=2, strategy=moderate, kappa=10000)
progressive_1e6/periodic_k117_2D.m    (p=37, n=2, strategy=progressive, kappa=1000000)
extreme_1e8/periodic_k117_2D.m    (p=37, n=2, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/periodic_k117_2D.m    (p=37, n=2, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/periodic_k117_2D.m    (p=37, n=2, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/periodic_k117_2D.m    (p=37, n=2, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/periodic_k117_2D.m    (p=37, n=2, strategy=halton_oscillatory, kappa=1000000)
baseline_1/poissonian_k113_2D.m    (p=38, n=2, strategy=baseline, kappa=1)
moderate_1e4/poissonian_k113_2D.m    (p=38, n=2, strategy=moderate, kappa=10000)
progressive_1e6/poissonian_k113_2D.m    (p=38, n=2, strategy=progressive, kappa=1000000)
extreme_1e8/poissonian_k113_2D.m    (p=38, n=2, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/poissonian_k113_2D.m    (p=38, n=2, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/poissonian_k113_2D.m    (p=38, n=2, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/poissonian_k113_2D.m    (p=38, n=2, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/poissonian_k113_2D.m    (p=38, n=2, strategy=halton_oscillatory, kappa=1000000)
baseline_1/powell_k36_4D.m    (p=39, n=4, strategy=baseline, kappa=1)
moderate_1e4/powell_k36_4D.m    (p=39, n=4, strategy=moderate, kappa=10000)
progressive_1e6/powell_k36_4D.m    (p=39, n=4, strategy=progressive, kappa=1000000)
extreme_1e8/powell_k36_4D.m    (p=39, n=4, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/powell_k36_4D.m    (p=39, n=4, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/powell_k36_4D.m    (p=39, n=4, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/powell_k36_4D.m    (p=39, n=4, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/powell_k36_4D.m    (p=39, n=4, strategy=halton_oscillatory, kappa=1000000)
baseline_1/rastrigin_k125_k113_k53_10D.m    (p=40, n=10, strategy=baseline, kappa=1)
moderate_1e4/rastrigin_k125_k113_k53_10D.m    (p=40, n=10, strategy=moderate, kappa=10000)
progressive_1e6/rastrigin_k125_k113_k53_10D.m    (p=40, n=10, strategy=progressive, kappa=1000000)
extreme_1e8/rastrigin_k125_k113_k53_10D.m    (p=40, n=10, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/rastrigin_k125_k113_k53_10D.m    (p=40, n=10, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/rastrigin_k125_k113_k53_10D.m    (p=40, n=10, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/rastrigin_k125_k113_k53_10D.m    (p=40, n=10, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/rastrigin_k125_k113_k53_10D.m    (p=40, n=10, strategy=halton_oscillatory, kappa=1000000)
baseline_1/rosenbrock_k43_2D.m    (p=41, n=2, strategy=baseline, kappa=1)
moderate_1e4/rosenbrock_k43_2D.m    (p=41, n=2, strategy=moderate, kappa=10000)
progressive_1e6/rosenbrock_k43_2D.m    (p=41, n=2, strategy=progressive, kappa=1000000)
extreme_1e8/rosenbrock_k43_2D.m    (p=41, n=2, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/rosenbrock_k43_2D.m    (p=41, n=2, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/rosenbrock_k43_2D.m    (p=41, n=2, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/rosenbrock_k43_2D.m    (p=41, n=2, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/rosenbrock_k43_2D.m    (p=41, n=2, strategy=halton_oscillatory, kappa=1000000)
baseline_1/salomon_k90_5D.m    (p=42, n=5, strategy=baseline, kappa=1)
moderate_1e4/salomon_k90_5D.m    (p=42, n=5, strategy=moderate, kappa=10000)
progressive_1e6/salomon_k90_5D.m    (p=42, n=5, strategy=progressive, kappa=1000000)
extreme_1e8/salomon_k90_5D.m    (p=42, n=5, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/salomon_k90_5D.m    (p=42, n=5, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/salomon_k90_5D.m    (p=42, n=5, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/salomon_k90_5D.m    (p=42, n=5, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/salomon_k90_5D.m    (p=42, n=5, strategy=halton_oscillatory, kappa=1000000)
baseline_1/salomon_k87_k80_k74_10D.m    (p=43, n=10, strategy=baseline, kappa=1)
moderate_1e4/salomon_k87_k80_k74_10D.m    (p=43, n=10, strategy=moderate, kappa=10000)
progressive_1e6/salomon_k87_k80_k74_10D.m    (p=43, n=10, strategy=progressive, kappa=1000000)
extreme_1e8/salomon_k87_k80_k74_10D.m    (p=43, n=10, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/salomon_k87_k80_k74_10D.m    (p=43, n=10, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/salomon_k87_k80_k74_10D.m    (p=43, n=10, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/salomon_k87_k80_k74_10D.m    (p=43, n=10, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/salomon_k87_k80_k74_10D.m    (p=43, n=10, strategy=halton_oscillatory, kappa=1000000)
baseline_1/schaffer1_k93_2D.m    (p=44, n=2, strategy=baseline, kappa=1)
moderate_1e4/schaffer1_k93_2D.m    (p=44, n=2, strategy=moderate, kappa=10000)
progressive_1e6/schaffer1_k93_2D.m    (p=44, n=2, strategy=progressive, kappa=1000000)
extreme_1e8/schaffer1_k93_2D.m    (p=44, n=2, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/schaffer1_k93_2D.m    (p=44, n=2, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/schaffer1_k93_2D.m    (p=44, n=2, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/schaffer1_k93_2D.m    (p=44, n=2, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/schaffer1_k93_2D.m    (p=44, n=2, strategy=halton_oscillatory, kappa=1000000)
baseline_1/schaffer2_k31_2D.m    (p=45, n=2, strategy=baseline, kappa=1)
moderate_1e4/schaffer2_k31_2D.m    (p=45, n=2, strategy=moderate, kappa=10000)
progressive_1e6/schaffer2_k31_2D.m    (p=45, n=2, strategy=progressive, kappa=1000000)
extreme_1e8/schaffer2_k31_2D.m    (p=45, n=2, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/schaffer2_k31_2D.m    (p=45, n=2, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/schaffer2_k31_2D.m    (p=45, n=2, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/schaffer2_k31_2D.m    (p=45, n=2, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/schaffer2_k31_2D.m    (p=45, n=2, strategy=halton_oscillatory, kappa=1000000)
baseline_1/schwefel_k73_k63_k50_10D.m    (p=46, n=10, strategy=baseline, kappa=1)
moderate_1e4/schwefel_k73_k63_k50_10D.m    (p=46, n=10, strategy=moderate, kappa=10000)
progressive_1e6/schwefel_k73_k63_k50_10D.m    (p=46, n=10, strategy=progressive, kappa=1000000)
extreme_1e8/schwefel_k73_k63_k50_10D.m    (p=46, n=10, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/schwefel_k73_k63_k50_10D.m    (p=46, n=10, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/schwefel_k73_k63_k50_10D.m    (p=46, n=10, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/schwefel_k73_k63_k50_10D.m    (p=46, n=10, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/schwefel_k73_k63_k50_10D.m    (p=46, n=10, strategy=halton_oscillatory, kappa=1000000)
baseline_1/shekel_45_k69_4D.m    (p=47, n=4, strategy=baseline, kappa=1)
moderate_1e4/shekel_45_k69_4D.m    (p=47, n=4, strategy=moderate, kappa=10000)
progressive_1e6/shekel_45_k69_4D.m    (p=47, n=4, strategy=progressive, kappa=1000000)
extreme_1e8/shekel_45_k69_4D.m    (p=47, n=4, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/shekel_45_k69_4D.m    (p=47, n=4, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/shekel_45_k69_4D.m    (p=47, n=4, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/shekel_45_k69_4D.m    (p=47, n=4, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/shekel_45_k69_4D.m    (p=47, n=4, strategy=halton_oscillatory, kappa=1000000)
baseline_1/shekel_47_k121_4D.m    (p=48, n=4, strategy=baseline, kappa=1)
moderate_1e4/shekel_47_k121_4D.m    (p=48, n=4, strategy=moderate, kappa=10000)
progressive_1e6/shekel_47_k121_4D.m    (p=48, n=4, strategy=progressive, kappa=1000000)
extreme_1e8/shekel_47_k121_4D.m    (p=48, n=4, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/shekel_47_k121_4D.m    (p=48, n=4, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/shekel_47_k121_4D.m    (p=48, n=4, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/shekel_47_k121_4D.m    (p=48, n=4, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/shekel_47_k121_4D.m    (p=48, n=4, strategy=halton_oscillatory, kappa=1000000)
baseline_1/shekel_410_k59_4D.m    (p=49, n=4, strategy=baseline, kappa=1)
moderate_1e4/shekel_410_k59_4D.m    (p=49, n=4, strategy=moderate, kappa=10000)
progressive_1e6/shekel_410_k59_4D.m    (p=49, n=4, strategy=progressive, kappa=1000000)
extreme_1e8/shekel_410_k59_4D.m    (p=49, n=4, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/shekel_410_k59_4D.m    (p=49, n=4, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/shekel_410_k59_4D.m    (p=49, n=4, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/shekel_410_k59_4D.m    (p=49, n=4, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/shekel_410_k59_4D.m    (p=49, n=4, strategy=halton_oscillatory, kappa=1000000)
baseline_1/shekel_foxholes_k85_5D.m    (p=50, n=5, strategy=baseline, kappa=1)
moderate_1e4/shekel_foxholes_k85_5D.m    (p=50, n=5, strategy=moderate, kappa=10000)
progressive_1e6/shekel_foxholes_k85_5D.m    (p=50, n=5, strategy=progressive, kappa=1000000)
extreme_1e8/shekel_foxholes_k85_5D.m    (p=50, n=5, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/shekel_foxholes_k85_5D.m    (p=50, n=5, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/shekel_foxholes_k85_5D.m    (p=50, n=5, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/shekel_foxholes_k85_5D.m    (p=50, n=5, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/shekel_foxholes_k85_5D.m    (p=50, n=5, strategy=halton_oscillatory, kappa=1000000)
baseline_1/shekel_foxholes_k113_k72_k24_10D.m    (p=51, n=10, strategy=baseline, kappa=1)
moderate_1e4/shekel_foxholes_k113_k72_k24_10D.m    (p=51, n=10, strategy=moderate, kappa=10000)
progressive_1e6/shekel_foxholes_k113_k72_k24_10D.m    (p=51, n=10, strategy=progressive, kappa=1000000)
extreme_1e8/shekel_foxholes_k113_k72_k24_10D.m    (p=51, n=10, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/shekel_foxholes_k113_k72_k24_10D.m    (p=51, n=10, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/shekel_foxholes_k113_k72_k24_10D.m    (p=51, n=10, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/shekel_foxholes_k113_k72_k24_10D.m    (p=51, n=10, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/shekel_foxholes_k113_k72_k24_10D.m    (p=51, n=10, strategy=halton_oscillatory, kappa=1000000)
baseline_1/shubert_k88_2D.m    (p=52, n=2, strategy=baseline, kappa=1)
moderate_1e4/shubert_k88_2D.m    (p=52, n=2, strategy=moderate, kappa=10000)
progressive_1e6/shubert_k88_2D.m    (p=52, n=2, strategy=progressive, kappa=1000000)
extreme_1e8/shubert_k88_2D.m    (p=52, n=2, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/shubert_k88_2D.m    (p=52, n=2, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/shubert_k88_2D.m    (p=52, n=2, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/shubert_k88_2D.m    (p=52, n=2, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/shubert_k88_2D.m    (p=52, n=2, strategy=halton_oscillatory, kappa=1000000)
baseline_1/sinusoidal_k108_k86_k77_10D.m    (p=53, n=10, strategy=baseline, kappa=1)
moderate_1e4/sinusoidal_k108_k86_k77_10D.m    (p=53, n=10, strategy=moderate, kappa=10000)
progressive_1e6/sinusoidal_k108_k86_k77_10D.m    (p=53, n=10, strategy=progressive, kappa=1000000)
extreme_1e8/sinusoidal_k108_k86_k77_10D.m    (p=53, n=10, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/sinusoidal_k108_k86_k77_10D.m    (p=53, n=10, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/sinusoidal_k108_k86_k77_10D.m    (p=53, n=10, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/sinusoidal_k108_k86_k77_10D.m    (p=53, n=10, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/sinusoidal_k108_k86_k77_10D.m    (p=53, n=10, strategy=halton_oscillatory, kappa=1000000)
baseline_1/sixhumpcamel_k63_2D.m    (p=54, n=2, strategy=baseline, kappa=1)
moderate_1e4/sixhumpcamel_k63_2D.m    (p=54, n=2, strategy=moderate, kappa=10000)
progressive_1e6/sixhumpcamel_k63_2D.m    (p=54, n=2, strategy=progressive, kappa=1000000)
extreme_1e8/sixhumpcamel_k63_2D.m    (p=54, n=2, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/sixhumpcamel_k63_2D.m    (p=54, n=2, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/sixhumpcamel_k63_2D.m    (p=54, n=2, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/sixhumpcamel_k63_2D.m    (p=54, n=2, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/sixhumpcamel_k63_2D.m    (p=54, n=2, strategy=halton_oscillatory, kappa=1000000)
baseline_1/sphere_k43_3D.m    (p=55, n=3, strategy=baseline, kappa=1)
moderate_1e4/sphere_k43_3D.m    (p=55, n=3, strategy=moderate, kappa=10000)
progressive_1e6/sphere_k43_3D.m    (p=55, n=3, strategy=progressive, kappa=1000000)
extreme_1e8/sphere_k43_3D.m    (p=55, n=3, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/sphere_k43_3D.m    (p=55, n=3, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/sphere_k43_3D.m    (p=55, n=3, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/sphere_k43_3D.m    (p=55, n=3, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/sphere_k43_3D.m    (p=55, n=3, strategy=halton_oscillatory, kappa=1000000)
baseline_1/storn_tchebychev_k111_k105_k25_9D.m    (p=56, n=9, strategy=baseline, kappa=1)
moderate_1e4/storn_tchebychev_k111_k105_k25_9D.m    (p=56, n=9, strategy=moderate, kappa=10000)
progressive_1e6/storn_tchebychev_k111_k105_k25_9D.m    (p=56, n=9, strategy=progressive, kappa=1000000)
extreme_1e8/storn_tchebychev_k111_k105_k25_9D.m    (p=56, n=9, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/storn_tchebychev_k111_k105_k25_9D.m    (p=56, n=9, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/storn_tchebychev_k111_k105_k25_9D.m    (p=56, n=9, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/storn_tchebychev_k111_k105_k25_9D.m    (p=56, n=9, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/storn_tchebychev_k111_k105_k25_9D.m    (p=56, n=9, strategy=halton_oscillatory, kappa=1000000)
baseline_1/tenn_local_minima_k98_2D.m    (p=57, n=2, strategy=baseline, kappa=1)
moderate_1e4/tenn_local_minima_k98_2D.m    (p=57, n=2, strategy=moderate, kappa=10000)
progressive_1e6/tenn_local_minima_k98_2D.m    (p=57, n=2, strategy=progressive, kappa=1000000)
extreme_1e8/tenn_local_minima_k98_2D.m    (p=57, n=2, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/tenn_local_minima_k98_2D.m    (p=57, n=2, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/tenn_local_minima_k98_2D.m    (p=57, n=2, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/tenn_local_minima_k98_2D.m    (p=57, n=2, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/tenn_local_minima_k98_2D.m    (p=57, n=2, strategy=halton_oscillatory, kappa=1000000)
baseline_1/tenn_local_minima_k98_4D.m    (p=58, n=4, strategy=baseline, kappa=1)
moderate_1e4/tenn_local_minima_k98_4D.m    (p=58, n=4, strategy=moderate, kappa=10000)
progressive_1e6/tenn_local_minima_k98_4D.m    (p=58, n=4, strategy=progressive, kappa=1000000)
extreme_1e8/tenn_local_minima_k98_4D.m    (p=58, n=4, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/tenn_local_minima_k98_4D.m    (p=58, n=4, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/tenn_local_minima_k98_4D.m    (p=58, n=4, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/tenn_local_minima_k98_4D.m    (p=58, n=4, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/tenn_local_minima_k98_4D.m    (p=58, n=4, strategy=halton_oscillatory, kappa=1000000)
baseline_1/tenn_local_minima_k94_k41_6D.m    (p=59, n=6, strategy=baseline, kappa=1)
moderate_1e4/tenn_local_minima_k94_k41_6D.m    (p=59, n=6, strategy=moderate, kappa=10000)
progressive_1e6/tenn_local_minima_k94_k41_6D.m    (p=59, n=6, strategy=progressive, kappa=1000000)
extreme_1e8/tenn_local_minima_k94_k41_6D.m    (p=59, n=6, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/tenn_local_minima_k94_k41_6D.m    (p=59, n=6, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/tenn_local_minima_k94_k41_6D.m    (p=59, n=6, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/tenn_local_minima_k94_k41_6D.m    (p=59, n=6, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/tenn_local_minima_k94_k41_6D.m    (p=59, n=6, strategy=halton_oscillatory, kappa=1000000)
baseline_1/tenn_local_minima_k70_k64_k30_8D.m    (p=60, n=8, strategy=baseline, kappa=1)
moderate_1e4/tenn_local_minima_k70_k64_k30_8D.m    (p=60, n=8, strategy=moderate, kappa=10000)
progressive_1e6/tenn_local_minima_k70_k64_k30_8D.m    (p=60, n=8, strategy=progressive, kappa=1000000)
extreme_1e8/tenn_local_minima_k70_k64_k30_8D.m    (p=60, n=8, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/tenn_local_minima_k70_k64_k30_8D.m    (p=60, n=8, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/tenn_local_minima_k70_k64_k30_8D.m    (p=60, n=8, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/tenn_local_minima_k70_k64_k30_8D.m    (p=60, n=8, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/tenn_local_minima_k70_k64_k30_8D.m    (p=60, n=8, strategy=halton_oscillatory, kappa=1000000)
baseline_1/threehumpcamel_k38_2D.m    (p=61, n=2, strategy=baseline, kappa=1)
moderate_1e4/threehumpcamel_k38_2D.m    (p=61, n=2, strategy=moderate, kappa=10000)
progressive_1e6/threehumpcamel_k38_2D.m    (p=61, n=2, strategy=progressive, kappa=1000000)
extreme_1e8/threehumpcamel_k38_2D.m    (p=61, n=2, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/threehumpcamel_k38_2D.m    (p=61, n=2, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/threehumpcamel_k38_2D.m    (p=61, n=2, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/threehumpcamel_k38_2D.m    (p=61, n=2, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/threehumpcamel_k38_2D.m    (p=61, n=2, strategy=halton_oscillatory, kappa=1000000)
baseline_1/transistor_k89_k68_k49_9D.m    (p=62, n=9, strategy=baseline, kappa=1)
moderate_1e4/transistor_k89_k68_k49_9D.m    (p=62, n=9, strategy=moderate, kappa=10000)
progressive_1e6/transistor_k89_k68_k49_9D.m    (p=62, n=9, strategy=progressive, kappa=1000000)
extreme_1e8/transistor_k89_k68_k49_9D.m    (p=62, n=9, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/transistor_k89_k68_k49_9D.m    (p=62, n=9, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/transistor_k89_k68_k49_9D.m    (p=62, n=9, strategy=sobol_digit_oscillatory, kappa=100000000)
